cdid,hy,p_id,city_d,model_variant,year,firm_name_unique,sales,nameplate,displacement,power,weight,msrp,AT,sub_brand,suv,mpv,ev,country,petrol,length,cost_unit,width,height,range,population,quota_cost,quota_d,subsidy_local_net,s_c,import,size,ln_size,ln_length,ln_width,ln_height,ln_cost_unit,ln_power,ln_weight,prod_id,category,mkt_share,ln_p_net,mktn,firm_d,boc,euro,usa,korea,japan,brand_d,blp_firm_num,blp_mkt_num,blp_firm_power,blp_mkt_power,blp_firm_weight,blp_mkt_weight,blp_firm_length,blp_mkt_length,blp_firm_width,blp_mkt_width,blp_firm_height,blp_mkt_height,blp_firm_cost_unit,blp_mkt_cost_unit,blp_firm_size,blp_mkt_size,iv_mkt_length,iv_mkt_power,iv_mkt_cost_unit,iv_mkt_width,iv_mkt_weight,iv_mkt_height,iv_mkt_size,iv_mkt_msrp_hat,iv_local_length,iv_local_power,iv_local_cost_unit,iv_local_width,iv_local_weight,iv_local_height,iv_local_size,iv_local_msrp_hat,kw_100km,fuel_consumption,hhinc_mu,hhinc_sigma,hhinc_sigma_prov,odds,local_brand,etc,tesla,iv_cost,ln_c_w,survey_income,trprice,steel_hy,unwanted
1,1,1,1,1087,2016,上汽大众汽车有限公司,133,晶锐,1.598,81,1.105,9.49,1,上汽大众,0,0,0,Czech,1,3993,36.36823,1732,1487,0,1450,83650.07,1,0,0,0,6.915876,1.93382,8.292298,7.457032,7.304516,3.593695,4.394449,0.0998453,131,1,9.17e-06,2.882284,9,6,2,1,0,0,0,11,4.248495,6.746412,8.845778,11.52771,4.53732,7.123084,12.66103,15.17613,11.73009,14.24967,11.56471,14.11381,7.84247,10.43646,6.328481,8.865642,19.72733,14.66005,11.13381,15.95611,5.243578,16.93093,7.655719,11.2932,12.21508,10.11866,7.495261,10.63554,-0.0377995,12.63096,0.7422284,6.822799,0,6.3,3.831551,-0.6724391,0.5049828,0.04333709,1,0,0,1.504415,0,12637.7,8.175889,3054.4,0
1,1,1,1,1256,2016,上汽大众汽车有限公司,498,桑塔纳浩纳,1.598,81,1.155,10.69,1,上汽大众,0,0,0,Germany,1,4282,35.79095,1706,1475,0,1450,83554.36,1,0,0,0,7.305092,1.988572,8.362176,7.441907,7.296413,3.577695,4.394449,0.1441003,133,1,3.43e-05,2.946827,17,6,4,1,0,0,0,11,4.248495,6.746412,8.845778,11.52771,4.536784,7.123084,12.66011,15.17613,11.7303,14.24967,11.56483,14.11381,7.842696,10.43646,6.327786,8.865642,18.80763,14.66005,11.18491,16.34375,5.067775,17.01764,7.180097,11.22351,13.58327,10.11866,7.583255,10.33296,0.4477005,12.51822,1.822689,6.7056,0,6.2,3.831551,-0.6724391,0.5049828,0.04333709,1,0,0,1.50138,0,0,9.166793,3054.4,0
1,1,1,1,1878,2016,上汽通用五菱汽车股份有限公司,121,征程,1.485,79,1.615,6.6,0,上汽通用五菱,0,0,0,China,1,5090,45.24102,1780,1925,0,1450,83340.07,1,0,0,0,9.0602,2.203891,8.535033,7.484369,7.562681,3.812004,4.369448,0.479335,139,1,8.34e-06,2.703641,13,8,1,0,0,0,0,13,2.197225,6.81564,6.703188,11.58638,2.510168,7.186062,10.63374,15.24372,9.668461,14.31753,9.651944,14.17799,5.909189,10.49816,4.29343,8.931853,19.52816,14.71228,11.37073,15.24629,4.424749,18.60855,6.911697,10.77929,12.89908,10.25091,7.119536,11.42664,0.3257976,10.77866,2.206051,7.368771,0,8.4,3.831551,-0.6724391,0.5049828,0.04333709,0,0,0,1.212633,0,0,5.460852,3054.4,0
1,1,1,1,1624,2016,上汽通用五菱汽车股份有限公司,73,560,1.798,101,1.41,8.78,0,上汽通用五菱,1,0,0,China,1,4620,42.71823,1820,1750,0,1450,84483,1,0,0,0,8.4084,2.129231,8.43815,7.506592,7.467371,3.754626,4.61512,0.3435897,145,2,5.03e-06,2.846553,17,8,1,0,0,0,0,13,2.197225,6.81564,6.675823,11.58638,2.526688,7.186062,10.645,15.24372,9.665928,14.31753,9.663135,14.17799,5.916013,10.49816,4.302293,8.931853,18.10739,14.19726,11.12002,15.11388,4.266466,17.5326,6.191898,10.82541,14.41786,10.64058,7.199042,11.54259,0.7605188,12.25536,2.433137,7.397868,0,7.4,3.831551,-0.6724391,0.5049828,0.04333709,0,0,0,2.02986,0,0,8.058704,3054.4,0
1,1,1,1,2268,2016,上汽通用汽车有限公司,42,赛欧,0,85,1.385,25.8,1,上汽通用,0,0,1,USA,0,3947,6.787,1690,1507,200,1450,82418.07,1,3,4.5,0,6.67043,1.897684,8.280711,7.432484,7.317876,1.915009,4.442651,0.3257001,148,1,2.9e-06,3.12676,1,9,10,0,1,0,0,12,4.077538,6.759255,8.866582,11.52623,4.459011,7.128518,12.52809,15.18615,11.5811,14.26077,11.41077,14.12488,7.77326,10.4423,6.217496,8.873949,19.85155,14.5567,13.81941,16.56266,4.315029,16.79613,7.920602,11.29757,11.92995,10.06768,3.66274,9.550591,0.7971467,13.19106,0.6887425,6.069734,11,0,3.831551,-0.6724391,0.5049828,0.04333709,1,0,0,-1.274317,7.370512,0,22.65541,3054.4,0
1,1,1,1,2211,2016,上汽通用汽车有限公司,235,科鲁兹,1.399,110,1.3,14.99,0,上汽通用,0,0,0,USA,1,4567,31.92004,1786,1454,0,1450,83554.47,1,0,0,0,8.156662,2.098835,8.426612,7.487734,7.282073,3.463234,4.70048,0.2623643,151,1,1.62e-05,3.150402,13,9,10,0,1,0,0,12,4.077538,6.759255,8.86305,11.52623,4.459994,7.128518,12.52584,15.18615,11.5802,14.26077,11.41136,14.12488,7.762627,10.4423,6.214528,8.873949,18.08517,14.08213,11.61891,15.183,4.554554,17.17469,6.192468,10.86969,14.5334,10.33196,7.152402,11.38465,0.54019,12.85333,2.617131,7.284954,0,5.9,3.831551,-0.6724391,0.5049828,0.04333709,1,0,0,1.00485,0,19748.1,12.85411,3054.4,0
1,1,1,1,1971,2016,上汽通用汽车有限公司,1426,GL8,2.384,134,1.86,28.99,1,上汽通用,0,0,0,USA,1,5266,53.85835,1878,1772,0,1450,83856.03,1,0,0,0,9.889548,2.291478,8.569026,7.537962,7.479864,3.986357,4.89784,0.6205765,152,1,9.83e-05,3.621018,17,9,10,0,1,0,0,12,4.077538,6.759255,8.859648,11.52623,4.453498,7.128518,12.5233,15.18615,11.57934,14.26077,11.40783,14.12488,7.753252,10.4423,6.211056,8.873949,20.00631,14.26948,12.3739,15.88117,5.271348,17.69072,7.91408,11.23957,11.97601,10.02919,5.847449,11.08575,-0.558653,11.95057,0.0390857,6.146029,0,10,3.831551,-0.6724391,0.5049828,0.04333709,1,0,0,3.47213,0,0,23.93578,3054.4,0
1,1,1,1,2214,2016,上汽通用汽车有限公司,892,科鲁兹,1.485,80,1.36,11.99,0,上汽通用,0,0,0,USA,1,4643,41.56368,1797,1479,0,1450,84695.91,1,0,0,0,8.343471,2.121479,8.443116,7.493874,7.299121,3.727227,4.382027,0.3074847,154,1,6.15e-05,3.018452,13,9,10,0,1,0,0,12,4.077538,6.759255,8.867287,11.52623,4.4593,7.128518,12.52556,15.18615,11.5801,14.26077,11.41108,14.12488,7.758517,10.4423,6.214154,8.873949,18.13741,14.68614,11.04173,15.10172,4.375219,16.98839,6.17007,11.05101,14.46674,10.13086,7.158114,11.53875,0.6775827,12.55701,2.536425,6.928301,0,7.2,3.831551,-0.6724391,0.5049828,0.04333709,1,0,0,1.255632,0,19748.1,10.22109,3054.4,0
1,1,1,1,2050,2016,上汽通用汽车有限公司,1014,君威,1.998,108,1.555,17.99,1,上汽通用,0,0,0,USA,1,4830,49.34573,1856,1484,0,1450,83726.95,1,0,0,0,8.96448,2.19327,8.482602,7.526179,7.302496,3.898851,4.682131,0.4414755,173,1,6.99e-05,3.27195,1,9,10,0,1,0,0,12,4.077538,6.759255,8.863333,11.52623,4.457041,7.128518,12.52488,15.18615,11.57955,14.26077,11.41103,14.12488,7.755188,10.4423,6.212911,8.873949,18.66635,14.0997,11.8627,15.53708,4.280732,16.9523,6.781814,10.66139,13.86163,10.4797,6.461154,11.14907,0.4050803,12.57846,2.065519,6.818744,0,8.8,3.831551,-0.6724391,0.5049828,0.04333709,1,0,0,2.504911,0,15084,15.57668,3054.4,0
1,1,1,1,2003,2016,上汽通用汽车有限公司,1005,XTS,1.998,193,1.84,34.99,1,上汽通用,0,0,0,USA,1,5131,48.25344,1852,1501,0,1450,83752.64,1,0,0,0,9.502612,2.251567,8.543056,7.524022,7.313887,3.876467,5.26269,0.6097656,182,1,6.93e-05,3.769659,17,9,10,0,1,0,0,12,4.077538,6.759255,8.851233,11.52623,4.453731,7.128518,12.52379,15.18615,11.57958,14.26077,11.41084,14.12488,7.755656,10.4423,6.211833,8.873949,19.64755,15.69125,11.73063,15.47692,5.202136,16.83493,7.483073,11.892,13.30763,8.990067,6.747033,11.25268,-0.5290508,13.05442,1.163431,5.424513,0,9,3.831551,-0.6724391,0.5049828,0.04333709,1,0,0,2.505726,0,0,30.07363,3054.4,0
